"","employment","total_number","total_median","men_number","men_median","women_number","women_median","Total","median","code","less hs","high school","some college, no degree","associate","bachelor","master","doctor/professional","year","code2"
"1","Accountants and auditors","1383","1056","532","1250","852","956",1653,"43.1","13-2011","    1.65","   67.77","  130.59","  157.03","  943.86","  309.11","  42.98","2011","13-201"
"2","Actors","8","-","6","-","2","-",28,"–","27-2011","    0.25","    4.12","    6.36","    1.29","   12.99","    2.69","   0.31","2011","27-201"
"3","Actuaries","17","-","12","-","5","-",18,"–","15-2011","    0.00","    0.00","    0.09","    0.07","   10.76","    4.66","   2.43","2011","15-201"
"4","Adhesive bonding machine operators and tenders","10","-","4","-","6","-",9,"–","51-9191","    2.21","    4.36","    1.61","    0.44","    0.29","    0.08","   0.01","2011","51-919"
"5","Administrative services managers","115","1021","71","1170","44","-",128,"48.9","406090","    1.66","   22.66","   37.25","   14.46","   35.33","   14.34","   2.43","2011","406090"
"6","Advertising and promotions managers","68","1164","28","-","40","-",87,"39.200000000000003","40848","    1.39","    4.44","   12.09","    4.79","   52.63","   11.40","   0.35","2011","40848"
"7","Advertising sales agents","202","893","90","961","112","772",254,"39.6","41-3011","    4.57","   35.56","   56.39","   19.81","  119.13","   16.76","   2.03","2011","41-301"
"8","Aerospace engineers","134","1621","119","1745","16","-",144,"43.9","17-2011","    0.14","    3.17","   10.66","    7.78","   68.98","   45.79","   7.34","2011","17-201"
"9","Agents and business managers of artists, performers, and athletes","25","-","12","-","13","-",48,"–","13-1011","    0.86","    6.00","   10.42","    3.02","   20.35","    4.85","   2.54","2011","13-101"
"10","Agricultural and food science technicians","13","-","7","-","6","-",24,"–","19-4011","    1.87","    6.91","    5.54","    2.71","    5.74","    0.74","   0.46","2011","19-401"
"11","Agricultural inspectors","23","-","11","-","12","-",22,"–","45-2011","    2.33","    4.49","    4.91","    2.35","    6.56","    0.59","   0.75","2011","45-201"
"12","Aircraft mechanics and service technicians","143","988","139","990","4","-",164,"44","49-3011","    3.94","   45.26","   63.80","   33.95","   15.09","    1.31","   0.82","2011","49-301"
"13","Aircraft structure, surfaces, rigging, and systems assemblers","19","-","13","-","7","-",20,"–","51-2011","    3.16","    9.02","    4.76","    1.64","    1.12","    0.30","   0.00","2011","51-201"
"14","Ambulance drivers and attendants, except emergency medical technicians","9","-","9","-","0","-",13,"–","53-3011","    1.64","    5.20","    3.73","    1.05","    1.01","    0.36","   0.00","2011","53-301"
"15","Animal control workers","8","-","5","-","4","-",6,"–","33-9011","    0.15","    2.23","    2.05","    0.51","    0.85","    0.15","   0.06","2011","33-901"
"16","Animal trainers","16","-","9","-","7","-",49,"–","39-2011","    4.46","   15.29","   11.96","    3.77","   10.98","    1.81","   0.74","2011","39-201"
"17","Appraisers and assessors of real estate","50","990","30","-","20","-",88,"50.6","13-2021","    0.62","   10.65","   24.20","    9.42","   33.97","    7.04","   2.20","2011","13-202"
"18","Architectural and engineering managers","98","1914","91","1908","7","-",106,"47.6","2608503","    0.32","    3.07","    8.27","    5.51","   49.93","   33.18","   5.83","2011","260850"
"19","Atmospheric and space scientists","7","-","6","-","1","-",7,"–","19-2021","    0.00","    0.00","    0.44","    0.20","    3.28","    1.99","   1.09","2011","19-202"
"20","Audiologists","14","-","4","-","10","-",19,"–","29-1181","    0.00","    0.38","    0.00","    0.08","    1.46","    6.67","  10.41","2011","29-118"
"21","Automotive and watercraft service attendants","42","-","40","-","2","-",76,"30.1","53-6031","   13.45","   35.57","   16.80","    4.41","    4.71","    0.76","   0.30","2011","53-603"
"22","Automotive body and related repairers","107","624","107","625","1","-",140,"41.1","49-3021","   30.80","   72.38","   23.80","    8.82","    4.06","    0.14","   0.00","2011","49-302"
"23","Avionics technicians","16","-","15","-","2","-",16,"–","49-2091","    0.29","    4.18","    5.87","    3.50","    1.50","    0.53","   0.11","2011","49-209"
"24","Bakers","125","448","63","471","63","416",207,"40.299999999999997","51-3011","   56.72","   81.97","   38.92","   12.63","   14.08","    2.07","   0.62","2011","51-301"
"25","Barbers","29","-","25","-","4","-",89,"45.1","39-5011","   13.53","   41.83","   25.19","    4.98","    2.67","    0.53","   0.27","2011","39-501"
"26","Bartenders","210","545","104","593","106","505",392,"31.8","35-3011","   33.32","  109.76","  134.46","   34.50","   71.74","    6.66","   1.57","2011","35-301"
"27","Bill and account collectors","178","608","48","-","130","597",211,"38.9","43-3011","    8.44","   63.93","   76.80","   23.84","   31.65","    5.06","   1.27","2011","43-301"
"28","Billing and posting clerks","397","607","38","-","359","605",471,"42.2","43-3021","   13.19","  149.31","  167.21","   59.35","   67.82","   11.78","   1.88","2011","43-302"
"29","Biological technicians","19","-","10","-","9","-",21,"–","19-4021","    0.71","    3.49","    3.57","    1.83","    8.29","    1.74","   1.36","2011","19-402"
"30","Boilermakers","18","-","18","-","0","-",19,"–","47-2011","    1.71","    9.77","    5.00","    1.88","    0.53","    0.00","   0.11","2011","47-201"
"31","Bookkeeping, accounting, and auditing clerks","862","655","112","654","750","656",1300,"48.5","43-3031","   33.80","  396.50","  510.90","  131.30","  189.80","   32.50","   3.90","2011","43-303"
"32","Brokerage clerks","11","-","7","-","4","-",11,"–","43-4011","    0.09","    1.87","    3.59","    0.90","    4.29","    0.25","   0.00","2011","43-401"
"33","Budget analysts","52","1174","22","-","30","-",53,"45.2","13-2031","    0.16","    3.71","    8.16","    4.66","   22.15","   13.14","   1.06","2011","13-203"
"34","Bus and truck mechanics and diesel engine specialists","286","801","286","802","1","-",312,"42.4","49-3031","   45.24","  152.57","   72.70","   31.51","    9.05","    0.94","   0.00","2011","49-303"
"35","Business operations specialists, all other","238","991","88","1185","149","908",281,"43.6","13-1199","    5.34","   34.28","   57.04","   26.98","   99.75","   46.93","  10.68","2011","13-119"
"36","Buyers and purchasing agents, farm products","7","-","5","-","2","-",12,"–","13-1021","    1.04","    3.50","    2.17","    1.04","    3.54","    0.67","   0.02","2011","13-102"
"37","Cabinetmakers and bench carpenters","42","-","41","-","1","-",66,"47.1","51-7011","   11.88","   31.02","   13.86","    3.30","    4.88","    0.79","   0.26","2011","51-701"
"38","Cargo and freight agents","6","-","4","-","2","-",8,"–","43-5011","    0.63","    2.80","    2.26","    0.93","    1.10","    0.27","   0.00","2011","43-501"
"39","Carpenters","737","630","727","630","10","-",1330,"41.4","47-2031","  309.89","  574.56","  276.64","   73.15","   82.46","   10.64","   2.66","2011","47-203"
"40","Chefs and head cooks","299","580","245","601","53","502",347,"38.799999999999997","35-1011","   67.32","   99.59","   75.30","   56.21","   43.03","    3.82","   1.74","2011","35-101"
"41","Chemical engineers","73","1757","57","1885","16","-",74,"43.1","17-2041","    0.00","    2.22","    3.40","    2.89","   40.92","   17.32","   7.25","2011","17-204"
"42","Chemical technicians","69","788","40","-","29","-",77,"40.5","19-4031","    2.85","   17.94","   20.64","    9.09","   20.87","    3.23","   2.39","2011","19-403"
"43","Childcare workers","367","382","26","-","342","383",1231,"37.200000000000003","39-9011","  174.80","  406.23","  337.29","  120.64","  158.80","   28.31","   3.69","2011","39-901"
"44","Chiropractors","5","-","3","-","2","-",56,"48","29-1011","    0.00","    0.28","    0.39","    0.45","    1.74","    1.29","  51.86","2011","29-101"
"45","Civil engineers","335","1398","289","1436","46","-",383,"42.5","17-2051","    0.38","   10.72","   27.19","   18.00","  222.52","   90.39","  13.79","2011","17-205"
