"","employment","Total","median","code","less hs","high school","some college, no degree","associate","bachelor","master","doctor/professional","year"
"1","Farmers, ranchers, and other agricultural managers",978,"55.9","2598276","112.47","378.49","198.53","79.22","174.08"," 26.41"," 7.82","2011"
"2","Construction managers",926,"46.9","2601198"," 62.04","249.09","231.50","71.30","254.65"," 50.00"," 6.48","2011"
"3","Architectural and engineering managers",106,"47.6","2608503","  0.32","  3.07","  8.27"," 5.51"," 49.93"," 33.18"," 5.83","2011"
"4","Food service managers",1051,"39.700000000000003","2612155"," 94.59","306.89","295.33","94.59","219.66"," 34.68"," 6.31","2011"
"5","Gaming managers",23,"–","2619460","  0.67","  7.45","  8.35"," 2.58","  3.43","  0.41"," 0.12","2011"
"6","Lodging managers",148,"46.7","2623113","  5.62"," 29.16"," 38.48","14.36"," 44.99"," 13.02"," 2.37","2011"
"7","Medical and health services managers",529,"49.6","2634069","  4.76"," 50.78"," 86.23","67.18","162.93","120.61","36.50","2011"
"8","Natural sciences managers",16,"–","2637722","  0.06","  0.35","  0.72"," 0.54","  5.34","  4.00"," 4.99","2011"
"9","Property, real estate, and community association managers",587,"49.5","2645027"," 25.83","118.57","162.01","53.42","168.47"," 45.79","12.91","2011"
"10","Social and community service managers",329,"48.2","2648679","  4.94"," 26.32"," 49.68","20.73","118.77"," 91.13","17.11","2011"
"11","Emergency management directors",5,"–","2652332","  0.06","  0.62","  0.98"," 0.41","  2.06","  0.74"," 0.12","2011"
"12","Administrative services managers",128,"48.9","406090","  1.66"," 22.66"," 37.25","14.46"," 35.33"," 14.34"," 2.43","2011"
"13","Advertising and promotions managers",87,"39.200000000000003","40848","  1.39","  4.44"," 12.09"," 4.79"," 52.63"," 11.40"," 0.35","2011"
"14","Computer and information systems managers",553,"43.1","409743","  1.66"," 21.01"," 83.50","44.79","251.62","138.25","12.17","2011"
"15","Financial managers",1107,"43.6","413395","  8.86","118.45","222.51","83.03","446.12","201.47","25.46","2011"
"16","Industrial production managers",259,"46.3","420700","  9.84"," 52.84"," 59.83","21.50"," 81.33"," 30.30"," 3.37","2011"
"17","Purchasing managers",204,"48.7","424353","  2.24"," 24.68"," 43.66","17.34"," 77.11"," 34.48"," 4.49","2011"
"18","Transportation, storage, and distribution managers",254,"43.8","428005"," 12.19"," 73.91"," 73.41","21.34"," 57.15"," 13.97"," 2.29","2011"
"19","Compensation and benefits managers",21,"–","442614","  0.00","  1.91","  4.56"," 1.85","  8.71","  3.68"," 0.32","2011"
"20","Human resources managers",243,"45.1","446267","  6.56"," 30.13"," 49.81","18.71"," 86.51"," 44.71"," 6.56","2011"
"21","Training and development managers",38,"–","449919","  0.30","  2.66","  6.57"," 3.19"," 14.25","  9.69"," 1.33","2011"
"22","Public relations and fundraising managers",63,"42.1","48153","  0.06","  2.14","  6.68"," 2.02"," 34.15"," 15.44"," 2.52","2011"
"23","Administrative services managers",128.5,"49.4","406090","  2.83"," 21.46"," 37.52"," 16.45"," 35.59"," 13.11"," 1.54","2013"
"24","Advertising and promotions managers",64,"40.299999999999997","40848","  0.83","  2.88","  6.40","  3.46"," 41.41","  8.13"," 0.90","2013"
"25","Architectural and engineering managers",120.5,"49.7","2608503","  0.36","  4.70","  8.31","  5.18"," 55.43"," 40.25"," 6.27","2013"
"26","Compensation and benefits managers",13.5,"–","442614","  0.00","  0.66","  2.66","  1.03","  6.06","  2.56"," 0.51","2013"
"27","Computer and information systems managers",603.5,"44.3","409743","  2.41"," 24.74"," 89.32"," 47.07","281.23","145.44","13.28","2013"
"28","Construction managers",902,"46.9","2601198"," 62.24","237.23","219.19"," 76.67","251.66"," 47.81"," 7.22","2013"
