"","employment","total_median","total_number","men_median","men_number","women_median","women_number","Total","median","code","less hs","high school","some college, no degree","associate","bachelor","master","doctor/professional","year"
"1","Administrative services managers",109,"1198",71,"1232",38,"-",128.5,"49.4","406090","  2.83"," 21.46"," 37.52"," 16.45"," 35.59"," 13.11"," 1.54","2013"
"2","Advertising and promotions managers",53,"1526",18,"-",35,"-",64,"40.299999999999997","40848","  0.83","  2.88","  6.40","  3.46"," 41.41","  8.13"," 0.90","2013"
"3","Architectural and engineering managers",117,"1894",104,"1898",13,"-",120.5,"49.7","2608503","  0.36","  4.70","  8.31","  5.18"," 55.43"," 40.25"," 6.27","2013"
"4","Compensation and benefits managers",11,"-",3,"-",8,"-",13.5,"–","442614","  0.00","  0.66","  2.66","  1.03","  6.06","  2.56"," 0.51","2013"
"5","Computer and information systems managers",570,"1728",407,"1769",163,"1549",603.5,"44.3","409743","  2.41"," 24.74"," 89.32"," 47.07","281.23","145.44","13.28","2013"
"6","Construction managers",414,"1275",376,"1328",38,"-",902,"46.9","2601198"," 62.24","237.23","219.19"," 76.67","251.66"," 47.81"," 7.22","2013"
"7","Emergency management directors",9,"-",6,"-",3,"-",6.5,"–","2652332","  0.06","  0.34","  1.20","  1.03","  2.12","  1.54"," 0.20","2013"
"8","Farmers, ranchers, and other agricultural managers",97,"731",78,"716",19,"-",936.5,"56.1","2598276","112.38","345.57","185.43"," 85.22","171.38"," 28.09"," 8.43","2013"
"9","Financial managers",1127,"1236",514,"1518",613,"1064",1223,"43.8","413395"," 12.23","130.86","232.37"," 86.83","498.98","229.92","30.57","2013"
"10","Food service managers",716,"701",381,"801",335,"620",1081,"40","2612155","104.86","310.25","303.76","103.78","218.36"," 34.59"," 6.49","2013"
"11","Gaming managers",16,"-",12,"-",4,"-",21.5,"–","2619460","  1.76","  6.15","  6.32","  2.24","  4.02","  0.97"," 0.04","2013"
"12","Human resources managers",211,"1327",60,"1536",152,"1240",221.5,"44.3","446267","  4.87"," 28.57"," 46.07"," 17.50"," 77.08"," 42.09"," 5.32","2013"
"13","Industrial production managers",256,"1338",215,"1352",41,"-",258.5,"47.6","420700","  8.53"," 48.34"," 60.75"," 23.78"," 82.20"," 31.54"," 3.36","2013"
"14","Lodging managers",98,"901",45,"-",53,"858",148.5,"47.1","2623113","  7.42"," 27.92"," 35.79"," 13.81"," 49.30"," 11.58"," 2.82","2013"
"15","Medical and health services managers",529,"1258",154,"1412",375,"1224",585,"48.3","2634069","  5.26"," 45.63"," 89.50"," 71.37","187.20","139.23","46.80","2013"
"16","Natural sciences managers",12,"-",8,"-",4,"-",16,"–","2637722","  0.10","  0.22","  0.64","  0.37","  5.31","  5.02"," 4.35","2013"
"17","Property, real estate, and community association managers",358,"862",161,"1068",198,"784",649,"50.8","2645027"," 30.50","124.61","182.37"," 55.81","188.21"," 53.22","14.28","2013"
"18","Public relations and fundraising managers",51,"1159",21,"-",29,"-",56.5,"41.1","48153","  0.00","  1.81","  3.50","  2.83"," 30.34"," 15.42"," 2.54","2013"
"19","Purchasing managers",181,"1358",92,"1441",89,"1290",201,"47.5","424353","  2.41"," 22.31"," 36.98"," 15.68"," 82.01"," 35.98"," 5.63","2013"
"20","Social and community service managers",280,"1042",94,"1150",185,"1004",323.5,"47.5","2648679","  4.53"," 26.20"," 46.91"," 20.70","121.31"," 88.96","14.88","2013"
"21","Training and development managers",33,"-",16,"-",17,"-",35,"–","449919","  0.18","  1.92","  5.95","  3.29"," 14.38","  8.19"," 1.08","2013"
"22","Transportation, storage, and distribution managers",252,"1005",194,"1029",58,"920",275.5,"45.8","428005"," 15.15"," 81.82"," 70.53"," 24.52"," 61.71"," 20.66"," 1.38","2013"
