"","employment","code","less hs","high school","some college, no degree","associate","bachelor","master","doctor/professional","year"
"1","Total, all occupations","00-0000",8.7,24.2,21.3,9.4,22.5,9.7,4.2,"2014"
"2","Chief executives(1)","11-1011",1.6,9.1,15.4,5.4,39.7,21.5,7.4,"2014"
"3","General and operations managers","11-1021",2.3,17.1,25.9,9.8,32.5,10.9,1.5,"2014"
"4","Legislators(1)","11-1031",1.6,9.1,15.4,5.4,39.7,21.5,7.4,"2014"
"5","Advertising and promotions managers","40848",0.6,4.4,12.4,4.2,64.2,12.1,2,"2014"
"6","Marketing managers(1)","44501",0.9,7.8,15.3,6.6,50.8,16.9,1.7,"2014"
"7","Sales managers(1)","44866",0.9,7.8,15.3,6.6,50.8,16.9,1.7,"2014"
"8","Public relations and fundraising managers","48153",0.5,2,9.2,2.9,58.6,23.8,2.9,"2014"
"9","Administrative services managers","406090",2,19.1,27.5,10.7,29.3,10.1,1.4,"2014"
"10","Computer and information systems managers","409743",0.4,4.3,14.4,8.1,45.6,24.5,2.6,"2014"
"11","Financial managers","413395",1.1,10,18.4,7.8,40.5,19.7,2.6,"2014"
"12","Industrial production managers","420700",4.2,20.3,21.7,7.6,32.4,12.7,1.1,"2014"
"13","Purchasing managers","424353",0.8,10.5,19.4,7.9,39.9,19.2,2.4,"2014"
"14","Transportation, storage, and distribution managers","428005",4.9,29.7,29.2,7.2,22,6.5,0.4,"2014"
"15","Compensation and benefits managers","442614",0.1,6.4,16.1,8,42.8,24.6,1.9,"2014"
"16","Human resources managers","446267",2.4,11.7,18,8.6,37.1,19.5,2.7,"2014"
"17","Training and development managers","449919",0.8,7.9,16.5,7.8,40.2,22,4.8,"2014"
"18","Farmers, ranchers, and other agricultural managers","2598276",10.5,36.8,20.4,9.2,19.2,2.9,1,"2014"
"19","Construction managers","2601198",6.4,25.9,25.3,8.3,27.4,5.9,0.9,"2014"
"20","Education administrators, preschool and childcare center/program(1)","2604850",0.9,5.1,7.9,4.6,23.5,43.9,14.1,"2014"
"21","Education administrators, elementary and secondary school(1)","2605216",0.9,5.1,7.9,4.6,23.5,43.9,14.1,"2014"
"22","Education administrators, postsecondary(1)","2605581",0.9,5.1,7.9,4.6,23.5,43.9,14.1,"2014"
"23","Education administrators, all other(1)","2607772",0.9,5.1,7.9,4.6,23.5,43.9,14.1,"2014"
"24","Architectural and engineering managers","2608503",0.7,3.6,6.8,4.5,46.3,32.3,5.8,"2014"
"25","Food service managers","2612155",8.8,28.6,27.9,9.5,21.2,3.4,0.6,"2014"
"26","Funeral service managers(1)","2615808",2.8,14.2,18.9,7.5,35.6,17.5,3.6,"2014"
"27","Gaming managers","2619460",3.6,24.4,32.7,11.5,21.5,5.3,0.9,"2014"
"28","Lodging managers","2623113",3,18.9,25.1,10.1,32.6,8.9,1.3,"2014"
"29","Medical and health services managers","2634069",1.2,8.3,15.6,11.3,32.2,23.4,8.1,"2014"
"30","Natural sciences managers","2637722",0.8,1.6,3.1,2.9,36.9,31.7,22.9,"2014"
"31","Postmasters and mail superintendents(1)","2641374",2.8,14.2,18.9,7.5,35.6,17.5,3.6,"2014"
"32","Property, real estate, and community association managers","2645027",4.2,19,25.6,9.3,30.5,9,2.4,"2014"
"33","Social and community service managers","2648679",0.9,7.8,14.9,5.8,37.7,27.7,5.4,"2014"
"34","Emergency management directors","2652332",0,3.6,20.7,13.5,40.7,20.4,1.1,"2014"
"35","Managers, all other(1)","2666211",2.8,14.2,18.9,7.5,35.6,17.5,3.6,"2014"
"36","Agents and business managers of artists, performers, and athletes","13-1011",2.5,12.5,20,7,43.7,10.7,3.6,"2014"
"37","Buyers and purchasing agents, farm products","13-1021",12.4,30,18.2,8.9,23.6,4.4,2.5,"2014"
"38","Wholesale and retail buyers, except farm products","13-1022",4.8,23.1,26,9,32.1,4.7,0.3,"2014"
"39","Purchasing agents, except wholesale, retail, and farm products","13-1023",1.8,17,25.3,10.9,35,8.8,1.3,"2014"
"40","Claims adjusters, examiners, and investigators(1)","13-1031",1,15.7,25,9.7,39.3,7.6,1.7,"2014"
"41","Insurance appraisers, auto damage(1)","13-1032",1,15.7,25,9.7,39.3,7.6,1.7,"2014"
"42","Compliance officers","13-1041",1.1,8.2,19.1,8.1,38.6,17.8,7.1,"2014"
"43","Cost estimators","13-1051",2.4,22.2,29.8,11.5,28.9,4.5,0.6,"2014"
"44","Human resources specialists(1)","13-1071",1.5,10.4,18.8,8.1,43.2,15.9,2.2,"2014"
"45","Farm labor contractors(1)","13-1074",1.5,10.4,18.8,8.1,43.2,15.9,2.2,"2014"
"46","Labor relations specialists(1)","13-1075",1.5,10.4,18.8,8.1,43.2,15.9,2.2,"2014"
"47","Logisticians","13-1081",1.3,14.5,27.7,12.7,34.2,8.7,0.8,"2014"
