"","occupation","code","education","work_experience","job_training","year"
"1","Chief Executives","11-1011","Bachelor's degree","More than 5 years","None","2010"
"2","General and Operations Managers","11-1021","Associate's degree","1 to 5 years","None","2010"
"3","Legislators","11-1031","Bachelor's degree","1 to 5 years","None","2010"
"4","Advertising and Promotions Managers","40848.0","Bachelor's degree","1 to 5 years","None","2010"
"5","Marketing Managers","44501.0","Bachelor's degree","1 to 5 years","None","2010"
"6","Sales Managers","44866.0","Bachelor's degree","1 to 5 years","None","2010"
"7","Public Relations and Fundraising Managers","48153.0","Bachelor's degree","1 to 5 years","None","2010"
"8","Administrative Services Managers","406090.0","High school diploma or equivalent","1 to 5 years","None","2010"
"9","Computer and Information Systems Managers","409743.0","Bachelor's degree","More than 5 years","None","2010"
"10","Financial Managers","413395.0","Bachelor's degree","More than 5 years","None","2010"
"11","Industrial Production Managers","420700.0","Bachelor's degree","1 to 5 years","None","2010"
"12","Purchasing Managers","424353.0","Bachelor's degree","More than 5 years","None","2010"
"13","Transportation, Storage, and Distribution Managers","428005.0","High school diploma or equivalent","More than 5 years","None","2010"
"14","Compensation and Benefits Managers","442614.0","Bachelor's degree","1 to 5 years","None","2010"
"15","Human Resources Managers","446267.0","Bachelor's degree","1 to 5 years","None","2010"
"16","Training and Development Managers","449919.0","Bachelor's degree","1 to 5 years","None","2010"
"17","Farmers, Ranchers, and Other Agricultural Managers","2598276.0","High school diploma or equivalent","More than 5 years","None","2010"
"18","Construction Managers","2601198.0","Associate's degree","More than 5 years","None","2010"
"19","Education Administrators, Preschool and Childcare Center/Program","2604850.0","Bachelor's degree","1 to 5 years","None","2010"
"20","Education Administrators, Elementary and Secondary School","2605216.0","Master's degree","1 to 5 years","None","2010"
"21","Education Administrators, Postsecondary","2605581.0","Master's degree","1 to 5 years","None","2010"
"22","Education Administrators, All Other","2607772.0","Bachelor's degree","1 to 5 years","None","2010"
"23","Architectural and Engineering Managers","2608503.0","Bachelor's degree","More than 5 years","None","2010"
"24","Food Service Managers","2612155.0","High school diploma or equivalent","1 to 5 years","None","2010"
"25","Gaming Managers","2619460.0","Some college, no degree","More than 5 years","None","2010"
"26","Lodging Managers","2623113.0","High school diploma or equivalent","1 to 5 years","None","2010"
"27","Medical and Health Services Managers","2634069.0","Bachelor's degree","None","None","2010"
"28","Natural Sciences Managers","2637722.0","Bachelor's degree","More than 5 years","None","2010"
"29","Postmasters and Mail Superintendents","2641374.0","High school diploma or equivalent","1 to 5 years","Moderate-term on-the-job training","2010"
"30","Property, Real Estate, and Community Association Managers","2645027.0","High school diploma or equivalent","1 to 5 years","None","2010"
"31","Social and Community Service Managers","2648679.0","Bachelor's degree","1 to 5 years","None","2010"
"32","Emergency Management Directors","2652332.0","Bachelor's degree","1 to 5 years","Long-term on-the-job training","2010"
"33","Managers, All Other","2666211.0","High school diploma or equivalent","1 to 5 years","None","2010"
"34","Agents and Business Managers of Artists, Performers, and Athletes","13-1011","Bachelor's degree","1 to 5 years","None","2010"
"35","Buyers and Purchasing Agents, Farm Products","13-1021","High school diploma or equivalent","None","Long-term on-the-job training","2010"
"36","Wholesale and Retail Buyers, Except Farm Products","13-1022","High school diploma or equivalent","None","Long-term on-the-job training","2010"
"37","Purchasing Agents, Except Wholesale, Retail, and Farm Products","13-1023","High school diploma or equivalent","None","Long-term on-the-job training","2010"
"38","Claims Adjusters, Examiners, and Investigators","13-1031","High school diploma or equivalent","None","Long-term on-the-job training","2010"
"39","Insurance Appraisers, Auto Damage","13-1032","Postsecondary non-degree award","None","Moderate-term on-the-job training","2010"
"40","Compliance Officers","13-1041","Bachelor's degree","None","Moderate-term on-the-job training","2010"
"41","Cost Estimators","13-1051","Bachelor's degree","None","None","2010"
"42","Farm Labor Contractors","13-1074","Less than high school","Less than 1 year","Short-term on-the-job training","2010"
"43","Human Resources, Training, and Labor Relations Specialists, All Other","13-1078","Bachelor's degree","None","None","2010"
"44","Logisticians","13-1081","Bachelor's degree","1 to 5 years","None","2010"
