"","occupation","code","employ1","employ2","change_number","change_percent","job_change_number","annual_wage","education","work_experience","job_training","year"
"1","Total, all occupations","00-0000",150539.9,160328.8,9788.9,6.5,46506.9,"37040.0","-","-","-","2014"
"2","Accountants and auditors
 Show/hide Example Job Titles","13-2011",1332.7,1475.1,142.4,10.7,498,"68150.0","Bachelor's degree","None","None","2014"
"3","Actors
 Show/hide Example Job Titles","27-2011",69.4,76.1,6.6,9.6,34,"N/A","Some college, no degree","None","Long-term on-the-job training","2014"
"4","Actuaries
 Show/hide Example Job Titles","15-2011",24.6,29,4.4,18.1,11.7,"100610.0","Bachelor's degree","None","Long-term on-the-job training","2014"
"5","Adhesive bonding machine operators and tenders
 Show/hide Example Job Titles","51-9191",18.4,17.1,-1.2,-6.8,4.8,"32290.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"6","Administrative law judges, adjudicators, and hearing officers
 Show/hide Example Job Titles","23-1021",15,14.5,-0.5,-3.6,2.2,"92110.0","Doctoral or professional degree","5 years or more","Short-term on-the-job training","2014"
"7","Administrative services managers
 Show/hide Example Job Titles","406090.0",287.3,310.8,23.5,8.2,77.2,"90050.0","Bachelor's degree","Less than 5 years","None","2014"
"8","Adult basic and secondary education and literacy teachers and instructors
 Show/hide Example Job Titles","25-3011",77.5,83,5.5,7.1,20.1,"50650.0","Bachelor's degree","None","Internship/residency","2014"
"9","Advertising and promotions managers
 Show/hide Example Job Titles","40848.0",31,32.4,1.5,4.7,11.4,"100810.0","Bachelor's degree","Less than 5 years","None","2014"
"10","Advertising sales agents
 Show/hide Example Job Titles","41-3011",167.9,163.4,-4.5,-2.7,49.8,"50380.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"11","Aerospace engineering and operations technicians
 Show/hide Example Job Titles","17-3021",11.4,11.8,0.4,3.6,3.2,"68020.0","Associate's degree","None","None","2014"
"12","Aerospace engineers
 Show/hide Example Job Titles","17-2011",72.5,70.8,-1.6,-2.3,20.7,"109650.0","Bachelor's degree","None","None","2014"
"13","Agents and business managers of artists, performers, and athletes
 Show/hide Example Job Titles","13-1011",19.7,20.2,0.5,2.5,6.8,"62080.0","Bachelor's degree","Less than 5 years","None","2014"
"14","Agricultural and food science technicians
 Show/hide Example Job Titles","19-4011",33,34.7,1.6,4.9,12.4,"37550.0","Associate's degree","None","Moderate-term on-the-job training","2014"
"15","Agricultural engineers
 Show/hide Example Job Titles","17-2021",2.9,3,0.1,4.4,0.7,"73640.0","Bachelor's degree","None","None","2014"
"16","Agricultural equipment operators
 Show/hide Example Job Titles","45-2091",57.8,60.9,3.1,5.4,18.5,"28850.0","No formal educational credential","None","Short-term on-the-job training","2014"
"17","Agricultural inspectors
 Show/hide Example Job Titles","45-2011",14.2,14.1,-0.1,-0.6,3.6,"42800.0","Bachelor's degree","None","Moderate-term on-the-job training","2014"
"18","Agricultural sciences teachers, postsecondary
 Show/hide Example Job Titles","25-1041",12.1,12.8,0.7,6,2.9,"91580.0","Doctoral or professional degree","None","None","2014"
"19","Agricultural workers, all other
 Show/hide Example Job Titles","45-2099",10.6,10,-0.6,-5.7,2.8,"31160.0","No formal educational credential","None","Short-term on-the-job training","2014"
"20","Air traffic controllers
 Show/hide Example Job Titles","53-2021",24.5,22.4,-2.1,-8.6,7.5,"122410.0","Associate's degree","None","Long-term on-the-job training","2014"
"21","Aircraft cargo handling supervisors
 Show/hide Example Job Titles","53-1011",5.8,5.8,0,0.5,1.9,"47360.0","High school diploma or equivalent","Less than 5 years","None","2014"
"22","Aircraft mechanics and service technicians
 Show/hide Example Job Titles","49-3011",119.9,121.5,1.6,1.3,30.1,"60170.0","Postsecondary nondegree award","None","None","2014"
"23","Aircraft structure, surfaces, rigging, and systems assemblers
 Show/hide Example Job Titles","51-2011",40.6,38.6,-2,-4.9,8.1,"50050.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"24","Airfield operations specialists
 Show/hide Example Job Titles","53-2022",7.2,7.5,0.3,3.9,2.5,"48910.0","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"25","Airline pilots, copilots, and flight engineers
 Show/hide Example Job Titles","53-2011",75.7,76.5,0.8,1.1,19.3,"127820.0","Bachelor's degree","Less than 5 years","Moderate-term on-the-job training","2014"
"26","Ambulance drivers and attendants, except emergency medical technicians
 Show/hide Example Job Titles","53-3011",19.6,26.1,6.5,33,9.8,"23850.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"27","Amusement and recreation attendants
 Show/hide Example Job Titles","39-3091",288.6,310.9,22.3,7.7,143.2,"20160.0","No formal educational credential","None","Short-term on-the-job training","2014"
"28","Anesthesiologists
 Show/hide Example Job Titles","29-1061",33.7,40.8,7.1,21,16.1,">=208,000","Doctoral or professional degree","None","Internship/residency","2014"
"29","Animal breeders
 Show/hide Example Job Titles","45-2021",7,6.9,-0.1,-1.6,1.9,"35690.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"30","Animal control workers
 Show/hide Example Job Titles","33-9011",15,15.9,0.9,5.8,4.3,"34550.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"31","Animal scientists
 Show/hide Example Job Titles","19-1011",2.9,3.2,0.2,7.3,1.2,"60330.0","Bachelor's degree","None","None","2014"
"32","Animal trainers
 Show/hide Example Job Titles","39-2011",36.8,40.9,4.1,11.1,17.4,"27690.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"33","Anthropologists and archeologists
 Show/hide Example Job Titles","19-3091",7.7,8,0.3,3.8,1.2,"63190.0","Master's degree","None","None","2014"
