employment,code,degrees,number,year
"Total, all occupations",00-0000,less hs,8.7,2014
"Total, all occupations",00-0000,high school,24.2,2014
"Total, all occupations",00-0000,"some college, no degree",21.3,2014
"Total, all occupations",00-0000,associate,9.4,2014
"Total, all occupations",00-0000,bachelor,22.5,2014
"Total, all occupations",00-0000,master,9.7,2014
"Total, all occupations",00-0000,doctor/professional,4.2,2014
Chief executives(1),11-1011,less hs,1.6,2014
Chief executives(1),11-1011,high school,9.1,2014
Chief executives(1),11-1011,"some college, no degree",15.4,2014
Chief executives(1),11-1011,associate,5.4,2014
Chief executives(1),11-1011,bachelor,39.7,2014
Chief executives(1),11-1011,master,21.5,2014
Chief executives(1),11-1011,doctor/professional,7.4,2014
General and operations managers,11-1021,less hs,2.3,2014
General and operations managers,11-1021,high school,17.1,2014
General and operations managers,11-1021,"some college, no degree",25.9,2014
General and operations managers,11-1021,associate,9.8,2014
General and operations managers,11-1021,bachelor,32.5,2014
General and operations managers,11-1021,master,10.9,2014
General and operations managers,11-1021,doctor/professional,1.5,2014
Legislators(1),11-1031,less hs,1.6,2014
Legislators(1),11-1031,high school,9.1,2014
Legislators(1),11-1031,"some college, no degree",15.4,2014
Legislators(1),11-1031,associate,5.4,2014
Legislators(1),11-1031,bachelor,39.7,2014
Legislators(1),11-1031,master,21.5,2014
Legislators(1),11-1031,doctor/professional,7.4,2014
Advertising and promotions managers,40848,less hs,0.6,2014
Advertising and promotions managers,40848,high school,4.4,2014
Advertising and promotions managers,40848,"some college, no degree",12.4,2014
Advertising and promotions managers,40848,associate,4.2,2014
Advertising and promotions managers,40848,bachelor,64.2,2014
Advertising and promotions managers,40848,master,12.1,2014
Advertising and promotions managers,40848,doctor/professional,2,2014
Marketing managers(1),44501,less hs,0.9,2014
Marketing managers(1),44501,high school,7.8,2014
Marketing managers(1),44501,"some college, no degree",15.3,2014
Marketing managers(1),44501,associate,6.6,2014
Marketing managers(1),44501,bachelor,50.8,2014
Marketing managers(1),44501,master,16.9,2014
Marketing managers(1),44501,doctor/professional,1.7,2014
Sales managers(1),44866,less hs,0.9,2014
Sales managers(1),44866,high school,7.8,2014
Sales managers(1),44866,"some college, no degree",15.3,2014
Sales managers(1),44866,associate,6.6,2014
Sales managers(1),44866,bachelor,50.8,2014
Sales managers(1),44866,master,16.9,2014
Sales managers(1),44866,doctor/professional,1.7,2014
Public relations and fundraising managers,48153,less hs,0.5,2014
Public relations and fundraising managers,48153,high school,2,2014
Public relations and fundraising managers,48153,"some college, no degree",9.2,2014
Public relations and fundraising managers,48153,associate,2.9,2014
Public relations and fundraising managers,48153,bachelor,58.6,2014
Public relations and fundraising managers,48153,master,23.8,2014
Public relations and fundraising managers,48153,doctor/professional,2.9,2014
Administrative services managers,406090,less hs,2,2014
Administrative services managers,406090,high school,19.1,2014
Administrative services managers,406090,"some college, no degree",27.5,2014
Administrative services managers,406090,associate,10.7,2014
Administrative services managers,406090,bachelor,29.3,2014
Administrative services managers,406090,master,10.1,2014
Administrative services managers,406090,doctor/professional,1.4,2014
Computer and information systems managers,409743,less hs,0.4,2014
Computer and information systems managers,409743,high school,4.3,2014
Computer and information systems managers,409743,"some college, no degree",14.4,2014
Computer and information systems managers,409743,associate,8.1,2014
Computer and information systems managers,409743,bachelor,45.6,2014
Computer and information systems managers,409743,master,24.5,2014
Computer and information systems managers,409743,doctor/professional,2.6,2014
Financial managers,413395,less hs,1.1,2014
Financial managers,413395,high school,10,2014
Financial managers,413395,"some college, no degree",18.4,2014
Financial managers,413395,associate,7.8,2014
Financial managers,413395,bachelor,40.5,2014
Financial managers,413395,master,19.7,2014
Financial managers,413395,doctor/professional,2.6,2014
Industrial production managers,420700,less hs,4.2,2014
Industrial production managers,420700,high school,20.3,2014
Industrial production managers,420700,"some college, no degree",21.7,2014
Industrial production managers,420700,associate,7.6,2014
Industrial production managers,420700,bachelor,32.4,2014
Industrial production managers,420700,master,12.7,2014
Industrial production managers,420700,doctor/professional,1.1,2014
Purchasing managers,424353,less hs,0.8,2014
Purchasing managers,424353,high school,10.5,2014
Purchasing managers,424353,"some college, no degree",19.4,2014
Purchasing managers,424353,associate,7.9,2014
Purchasing managers,424353,bachelor,39.9,2014
Purchasing managers,424353,master,19.2,2014
Purchasing managers,424353,doctor/professional,2.4,2014
"Transportation, storage, and distribution managers",428005,less hs,4.9,2014
"Transportation, storage, and distribution managers",428005,high school,29.7,2014
"Transportation, storage, and distribution managers",428005,"some college, no degree",29.2,2014
"Transportation, storage, and distribution managers",428005,associate,7.2,2014
"Transportation, storage, and distribution managers",428005,bachelor,22,2014
"Transportation, storage, and distribution managers",428005,master,6.5,2014
"Transportation, storage, and distribution managers",428005,doctor/professional,0.4,2014
Compensation and benefits managers,442614,less hs,0.1,2014
Compensation and benefits managers,442614,high school,6.4,2014
Compensation and benefits managers,442614,"some college, no degree",16.1,2014
Compensation and benefits managers,442614,associate,8,2014
Compensation and benefits managers,442614,bachelor,42.8,2014
Compensation and benefits managers,442614,master,24.6,2014
Compensation and benefits managers,442614,doctor/professional,1.9,2014
Human resources managers,446267,less hs,2.4,2014
Human resources managers,446267,high school,11.7,2014
Human resources managers,446267,"some college, no degree",18,2014
Human resources managers,446267,associate,8.6,2014
Human resources managers,446267,bachelor,37.1,2014
Human resources managers,446267,master,19.5,2014
Human resources managers,446267,doctor/professional,2.7,2014
Training and development managers,449919,less hs,0.8,2014
Training and development managers,449919,high school,7.9,2014
Training and development managers,449919,"some college, no degree",16.5,2014
Training and development managers,449919,associate,7.8,2014
Training and development managers,449919,bachelor,40.2,2014
Training and development managers,449919,master,22,2014
Training and development managers,449919,doctor/professional,4.8,2014
"Farmers, ranchers, and other agricultural managers",2598276,less hs,10.5,2014
"Farmers, ranchers, and other agricultural managers",2598276,high school,36.8,2014
"Farmers, ranchers, and other agricultural managers",2598276,"some college, no degree",20.4,2014
"Farmers, ranchers, and other agricultural managers",2598276,associate,9.2,2014
"Farmers, ranchers, and other agricultural managers",2598276,bachelor,19.2,2014
"Farmers, ranchers, and other agricultural managers",2598276,master,2.9,2014
"Farmers, ranchers, and other agricultural managers",2598276,doctor/professional,1,2014
Construction managers,2601198,less hs,6.4,2014
Construction managers,2601198,high school,25.9,2014
Construction managers,2601198,"some college, no degree",25.3,2014
Construction managers,2601198,associate,8.3,2014
Construction managers,2601198,bachelor,27.4,2014
Construction managers,2601198,master,5.9,2014
Construction managers,2601198,doctor/professional,0.9,2014
"Education administrators, preschool and childcare center/program(1)",2604850,less hs,0.9,2014
"Education administrators, preschool and childcare center/program(1)",2604850,high school,5.1,2014
"Education administrators, preschool and childcare center/program(1)",2604850,"some college, no degree",7.9,2014
"Education administrators, preschool and childcare center/program(1)",2604850,associate,4.6,2014
"Education administrators, preschool and childcare center/program(1)",2604850,bachelor,23.5,2014
"Education administrators, preschool and childcare center/program(1)",2604850,master,43.9,2014
"Education administrators, preschool and childcare center/program(1)",2604850,doctor/professional,14.1,2014
"Education administrators, elementary and secondary school(1)",2605216,less hs,0.9,2014
"Education administrators, elementary and secondary school(1)",2605216,high school,5.1,2014
"Education administrators, elementary and secondary school(1)",2605216,"some college, no degree",7.9,2014
"Education administrators, elementary and secondary school(1)",2605216,associate,4.6,2014
"Education administrators, elementary and secondary school(1)",2605216,bachelor,23.5,2014
"Education administrators, elementary and secondary school(1)",2605216,master,43.9,2014
"Education administrators, elementary and secondary school(1)",2605216,doctor/professional,14.1,2014
"Education administrators, postsecondary(1)",2605581,less hs,0.9,2014
"Education administrators, postsecondary(1)",2605581,high school,5.1,2014
"Education administrators, postsecondary(1)",2605581,"some college, no degree",7.9,2014
"Education administrators, postsecondary(1)",2605581,associate,4.6,2014
"Education administrators, postsecondary(1)",2605581,bachelor,23.5,2014
"Education administrators, postsecondary(1)",2605581,master,43.9,2014
"Education administrators, postsecondary(1)",2605581,doctor/professional,14.1,2014
"Education administrators, all other(1)",2607772,less hs,0.9,2014
"Education administrators, all other(1)",2607772,high school,5.1,2014
"Education administrators, all other(1)",2607772,"some college, no degree",7.9,2014
"Education administrators, all other(1)",2607772,associate,4.6,2014
"Education administrators, all other(1)",2607772,bachelor,23.5,2014
"Education administrators, all other(1)",2607772,master,43.9,2014
"Education administrators, all other(1)",2607772,doctor/professional,14.1,2014
Architectural and engineering managers,2608503,less hs,0.7,2014
Architectural and engineering managers,2608503,high school,3.6,2014
Architectural and engineering managers,2608503,"some college, no degree",6.8,2014
Architectural and engineering managers,2608503,associate,4.5,2014
Architectural and engineering managers,2608503,bachelor,46.3,2014
Architectural and engineering managers,2608503,master,32.3,2014
Architectural and engineering managers,2608503,doctor/professional,5.8,2014
Food service managers,2612155,less hs,8.8,2014
Food service managers,2612155,high school,28.6,2014
Food service managers,2612155,"some college, no degree",27.9,2014
Food service managers,2612155,associate,9.5,2014
Food service managers,2612155,bachelor,21.2,2014
Food service managers,2612155,master,3.4,2014
Food service managers,2612155,doctor/professional,0.6,2014
Funeral service managers(1),2615808,less hs,2.8,2014
Funeral service managers(1),2615808,high school,14.2,2014
Funeral service managers(1),2615808,"some college, no degree",18.9,2014
Funeral service managers(1),2615808,associate,7.5,2014
Funeral service managers(1),2615808,bachelor,35.6,2014
Funeral service managers(1),2615808,master,17.5,2014
Funeral service managers(1),2615808,doctor/professional,3.6,2014
Gaming managers,2619460,less hs,3.6,2014
Gaming managers,2619460,high school,24.4,2014
Gaming managers,2619460,"some college, no degree",32.7,2014
Gaming managers,2619460,associate,11.5,2014
Gaming managers,2619460,bachelor,21.5,2014
Gaming managers,2619460,master,5.3,2014
Gaming managers,2619460,doctor/professional,0.9,2014
Lodging managers,2623113,less hs,3,2014
Lodging managers,2623113,high school,18.9,2014
Lodging managers,2623113,"some college, no degree",25.1,2014
Lodging managers,2623113,associate,10.1,2014
Lodging managers,2623113,bachelor,32.6,2014
Lodging managers,2623113,master,8.9,2014
Lodging managers,2623113,doctor/professional,1.3,2014
Medical and health services managers,2634069,less hs,1.2,2014
Medical and health services managers,2634069,high school,8.3,2014
