"","employment","Total","median","code","year","code2","degrees","number","edu"
"1","General and operations managers",978,"45.4","11-1021","2010","11-102","less.hs",21.52,"hs-"
"2","Agents and business managers of artists, performers, and athletes",48,"–","13-1011","2010","13-101","less.hs",0.86,"hs-"
"3","Buyers and purchasing agents, farm products",12,"–","13-1021","2010","13-102","less.hs",1.04,"hs-"
"4","Compliance officers",198,"45.9","13-1041","2010","13-104","less.hs",1.98,"hs-"
"5","Cost estimators",119,"44.7","13-1051","2010","13-105","less.hs",2.5,"hs-"
"6","Logisticians",88,"41.6","13-1081","2010","13-108","less.hs",1.32,"hs-"
"7","Management analysts",707,"46.6","13-1111","2010","13-111","less.hs",4.95,"hs-"
"8","Meeting, convention, and event planners",109,"37.4","13-1121","2010","13-112","less.hs",1.85,"hs-"
"9","Fundraisers",78,"41.2","13-1131","2010","13-113","less.hs",1.09,"hs-"
"10","Compensation, benefits, and job analysis specialists",65,"44.4","13-1141","2010","13-114","less.hs",0.06,"hs-"
"11","Training and development specialists",130,"45","13-1151","2010","13-115","less.hs",1.56,"hs-"
"12","Market research analysts and marketing specialists",205,"36.4","13-1161","2010","13-116","less.hs",1.23,"hs-"
"13","Business operations specialists, all other",281,"43.6","13-1199","2010","13-119","less.hs",5.34,"hs-"
"14","Accountants and auditors",1653,"43.1","13-2011","2010","13-201","less.hs",1.65,"hs-"
"15","Appraisers and assessors of real estate",88,"50.6","13-2021","2010","13-202","less.hs",0.62,"hs-"
"16","Budget analysts",53,"45.2","13-2031","2010","13-203","less.hs",0.16,"hs-"
"17","Credit analysts",24,"–","13-2041","2010","13-204","less.hs",0.34,"hs-"
"18","Financial analysts",84,"39.299999999999997","13-2051","2010","13-205","less.hs",0.25,"hs-"
"19","Financial examiners",8,"–","13-2061","2010","13-206","less.hs",0.02,"hs-"
"20","Tax examiners and collectors, and revenue agents",70,"47.3","13-2081","2010","13-208","less.hs",0.98,"hs-"
"21","Financial specialists, all other",77,"43","13-2099","2010","13-209","less.hs",1,"hs-"
"22","Computer and information research scientists",20,"–","15-1111","2010","15-111","less.hs",0.1,"hs-"
"23","Computer systems analysts",447,"43.1","15-1121","2010","15-112","less.hs",2.23,"hs-"
"24","Computer programmers",459,"41.8","15-1131","2010","15-113","less.hs",2.29,"hs-"
"25","Database administrators",134,"42.5","15-1141","2010","15-114","less.hs",0.67,"hs-"
"26","Computer occupations, all other",306,"40.799999999999997","15-1199","2010","15-119","less.hs",2.45,"hs-"
"27","Actuaries",18,"–","15-2011","2010","15-201","less.hs",0,"hs-"
"28","Operations research analysts",116,"41.3","15-2031","2010","15-203","less.hs",0.23,"hs-"
"29","Aerospace engineers",144,"43.9","17-2011","2010","17-201","less.hs",0.14,"hs-"
"30","Chemical engineers",74,"43.1","17-2041","2010","17-204","less.hs",0,"hs-"
"31","Civil engineers",383,"42.5","17-2051","2010","17-205","less.hs",0.38,"hs-"
"32","Computer hardware engineers",77,"41.7","17-2061","2010","17-206","less.hs",0,"hs-"
"33","Environmental engineers",45,"–","17-2081","2010","17-208","less.hs",0.09,"hs-"
"34","Marine engineers and naval architects",9,"–","17-2121","2010","17-212","less.hs",0,"hs-"
"35","Materials engineers",32,"–","17-2131","2010","17-213","less.hs",0,"hs-"
"36","Mechanical engineers",322,"42.5","17-2141","2010","17-214","less.hs",0.32,"hs-"
"37","Surveying and mapping technicians",62,"43.1","17-3031","2010","17-303","less.hs",2.67,"hs-"
"38","Atmospheric and space scientists",7,"–","19-2021","2010","19-202","less.hs",0,"hs-"
"39","Physical scientists, all other",152,"40.4","19-2099","2010","19-209","less.hs",0.15,"hs-"
"40","Economists",23,"–","19-3011","2010","19-301","less.hs",0.05,"hs-"
"41","Urban and regional planners",26,"–","19-3051","2010","19-305","less.hs",0,"hs-"
"42","Agricultural and food science technicians",24,"–","19-4011","2010","19-401","less.hs",1.87,"hs-"
"43","Biological technicians",21,"–","19-4021","2010","19-402","less.hs",0.71,"hs-"
"44","Chemical technicians",77,"40.5","19-4031","2010","19-403","less.hs",2.85,"hs-"
"45","Clergy",414,"52.5","21-2011","2010","21-201","less.hs",8.69,"hs-"
"46","Directors, religious activities and education",44,"–","21-2021","2010","21-202","less.hs",0.48,"hs-"
"47","Religious workers, all other",85,"51.5","21-2099","2010","21-209","less.hs",2.81,"hs-"
"48","Paralegals and legal assistants",404,"42.8","23-2011","2010","23-201","less.hs",4.44,"hs-"
"49","Librarians",198,"52","25-4021","2010","25-402","less.hs",0.2,"hs-"
"50","Library technicians",37,"–","25-4031","2010","25-403","less.hs",1.29,"hs-"
"51","Teacher assistants",950,"44.9","25-9041","2010","25-904","less.hs",24.7,"hs-"
"52","Actors",28,"–","27-2011","2010","27-201","less.hs",0.25,"hs-"
"53","Entertainers and performers, sports and related workers, all other",44,"–","27-2099","2010","27-209","less.hs",1.72,"hs-"
"54","Public relations specialists",158,"39.200000000000003","27-3031","2010","27-303","less.hs",0.79,"hs-"
"55","Editors",166,"41.4","27-3041","2010","27-304","less.hs",0.83,"hs-"
"56","Photographers",148,"40.6","27-4021","2010","27-402","less.hs",2.66,"hs-"
"57","Chiropractors",56,"48","29-1011","2010","29-101","less.hs",0,"hs-"
"58","Dietitians and nutritionists",102,"47.7","29-1031","2010","29-103","less.hs",3.06,"hs-"
"59","Optometrists",28,"–","29-1041","2010","29-104","less.hs",0,"hs-"
"60","Pharmacists",274,"41.1","29-1051","2010","29-105","less.hs",0.27,"hs-"
"61","Physician assistants",82,"37.6","29-1071","2010","29-107","less.hs",0.82,"hs-"
"62","Podiatrists",6,"–","29-1081","2010","29-108","less.hs",0,"hs-"
"63","Occupational therapists",112,"41.7","29-1122","2010","29-112","less.hs",0,"hs-"
"64","Veterinarians",71,"42.6","29-1131","2010","29-113","less.hs",0.36,"hs-"
"65","Registered nurses",2706,"44.7","29-1141","2010","29-114","less.hs",5.41,"hs-"
"66","Nurse anesthetists",33,"–","29-1151","2010","29-115","less.hs",0.1,"hs-"
"67","Audiologists",19,"–","29-1181","2010","29-118","less.hs",0,"hs-"
"68","Health diagnosing and treating practitioners, all other",26,"–","29-1199","2010","29-119","less.hs",0.21,"hs-"
"69","Dental hygienists",148,"42.2","29-2021","2010","29-202","less.hs",0.15,"hs-"
"70","Emergency medical technicians and paramedics",185,"31.8","29-2041","2010","29-204","less.hs",1.66,"hs-"
"71","Licensed practical and licensed vocational nurses",560,"43.2","29-2061","2010","29-206","less.hs",5.6,"hs-"
"72","Medical records and health information technicians",116,"42.7","29-2071","2010","29-207","less.hs",2.44,"hs-"
"73","Opticians, dispensing",51,"45.9","29-2081","2010","29-208","less.hs",1.48,"hs-"
"74","Massage therapists",146,"40.5","31-9011","2010","31-901","less.hs",2.63,"hs-"
"75","Dental assistants",307,"36.299999999999997","31-9091","2010","31-909","less.hs",9.21,"hs-"
"76","First-line supervisors of correctional officers",42,"–","33-1011","2010","33-101","less.hs",0.38,"hs-"
"77","First-line supervisors of fire fighting and prevention workers",44,"–","33-1021","2010","33-102","less.hs",0.18,"hs-"
"78","First-line supervisors of protective service workers, all other",111,"47.2","33-1099","2010","33-109","less.hs",3.44,"hs-"
"79","Firefighters",305,"37.299999999999997","33-2011","2010","33-201","less.hs",1.83,"hs-"
"80","Detectives and criminal investigators",151,"42.3","33-3021","2010","33-302","less.hs",0.91,"hs-"
"81","Animal control workers",6,"–","33-9011","2010","33-901","less.hs",0.15,"hs-"
"82","Private detectives and investigators",92,"41.3","33-9021","2010","33-902","less.hs",0.74,"hs-"
"83","Crossing guards",59,"53.6","33-9091","2010","33-909","less.hs",12.74,"hs-"
"84","Chefs and head cooks",347,"38.799999999999997","35-1011","2010","35-101","less.hs",67.32,"hs-"
"85","Food preparation workers",784,"28","35-2021","2010","35-202","less.hs",241.47,"hs-"
"86","Bartenders",392,"31.8","35-3011","2010","35-301","less.hs",33.32,"hs-"
"87","Combined food preparation and serving workers, including fast food",326,"28.1","35-3021","2010","35-302","less.hs",71.72,"hs-"
"88","Waiters and waitresses",2059,"26.1","35-3031","2010","35-303","less.hs",298.56,"hs-"
"89","Food servers, nonrestaurant",181,"32.299999999999997","35-3041","2010","35-304","less.hs",37.83,"hs-"
"90","Dishwashers",273,"28.3","35-9021","2010","35-902","less.hs",124.22,"hs-"
"91","Hosts and hostesses, restaurant, lounge, and coffee shop",286,"21.4","35-9031","2010","35-903","less.hs",42.61,"hs-"
"92","First-line supervisors of housekeeping and janitorial workers",292,"48.9","37-1011","2010","37-101","less.hs",46.14,"hs-"
"93","Pest control workers",75,"41.3","37-2021","2010","37-202","less.hs",6.9,"hs-"
"94","First-line supervisors of personal service workers",192,"43.1","39-1021","2010","39-102","less.hs",9.41,"hs-"
"95","Animal trainers",49,"–","39-2011","2010","39-201","less.hs",4.46,"hs-"
"96","Nonfarm animal caretakers",179,"37.200000000000003","39-2021","2010","39-202","less.hs",17.54,"hs-"
"97","Motion picture projectionists",8,"–","39-3021","2010","39-302","less.hs",0.32,"hs-"
"98","Ushers, lobby attendants, and ticket takers",46,"–","39-3031","2010","39-303","less.hs",4.69,"hs-"
"99","Morticians, undertakers, and funeral directors",23,"–","39-4031","2010","39-403","less.hs",0.34,"hs-"
"100","Barbers",89,"45.1","39-5011","2010","39-501","less.hs",13.53,"hs-"
"101","Childcare workers",1231,"37.200000000000003","39-9011","2010","39-901","less.hs",174.8,"hs-"
"102","Personal care aides",1057,"43.9","39-9021","2010","39-902","less.hs",199.77,"hs-"
"103","Residential advisors",59,"38.6","39-9041","2010","39-904","less.hs",3.13,"hs-"
"104","Personal care and service workers, all other",105,"33.200000000000003","39-9099","2010","39-909","less.hs",11.34,"hs-"
"105","First-line supervisors of retail sales workers",3217,"42.6","41-1011","2010","41-101","less.hs",196.24,"hs-"
"106","Counter and rental clerks",139,"38.200000000000003","41-2021","2010","41-202","less.hs",17.65,"hs-"
"107","Retail salespersons",3224,"35.9","41-2031","2010","41-203","less.hs",212.78,"hs-"
"108","Advertising sales agents",254,"39.6","41-3011","2010","41-301","less.hs",4.57,"hs-"
"109","Insurance sales agents",531,"45.8","41-3021","2010","41-302","less.hs",6.37,"hs-"
"110","Securities, commodities, and financial services sales agents",267,"41.7","41-3031","2010","41-303","less.hs",2.67,"hs-"
"111","Travel agents",69,"51.1","41-3041","2010","41-304","less.hs",1.31,"hs-"
"112","Sales representatives, services, all other",503,"40.700000000000003","41-3099","2010","41-309","less.hs",11.57,"hs-"
"113","Sales engineers",30,"–","41-9031","2010","41-903","less.hs",0.06,"hs-"
"114","Telemarketers",108,"30.5","41-9041","2010","41-904","less.hs",7.34,"hs-"
"115","Door-to-door sales workers, news and street vendors, and related workers",201,"43.8","41-9091","2010","41-909","less.hs",31.76,"hs-"
"116","First-line supervisors of office and administrative support workers",1423,"45.7","43-1011","2010","43-101","less.hs",39.84,"hs-"
"117","Switchboard operators, including answering service",39,"–","43-2011","2010","43-201","less.hs",1.95,"hs-"
"118","Telephone operators",40,"–","43-2021","2010","43-202","less.hs",1.8,"hs-"
"119","Communications equipment operators, all other",7,"–","43-2099","2010","43-209","less.hs",0.13,"hs-"
"120","Bill and account collectors",211,"38.9","43-3011","2010","43-301","less.hs",8.44,"hs-"
"121","Billing and posting clerks",471,"42.2","43-3021","2010","43-302","less.hs",13.19,"hs-"
"122","Bookkeeping, accounting, and auditing clerks",1300,"48.5","43-3031","2010","43-303","less.hs",33.8,"hs-"
"123","Gaming cage workers",5,"–","43-3041","2010","43-304","less.hs",0.46,"hs-"
"124","Payroll and timekeeping clerks",168,"46.1","43-3051","2010","43-305","less.hs",2.35,"hs-"
"125","Procurement clerks",26,"–","43-3061","2010","43-306","less.hs",0.47,"hs-"
"126","Tellers",413,"31.8","43-3071","2010","43-307","less.hs",7.02,"hs-"
"127","Financial clerks, all other",64,"41.7","43-3099","2010","43-309","less.hs",1.02,"hs-"
"128","Brokerage clerks",11,"–","43-4011","2010","43-401","less.hs",0.09,"hs-"
"129","Court, municipal, and license clerks",86,"48.9","43-4031","2010","43-403","less.hs",1.55,"hs-"
"130","Credit authorizers, checkers, and clerks",45,"–","43-4041","2010","43-404","less.hs",1.12,"hs-"
"131","Customer service representatives",1916,"37","43-4051","2010","43-405","less.hs",78.56,"hs-"
"132","Eligibility interviewers, government programs",85,"42.9","43-4061","2010","43-406","less.hs",1.19,"hs-"
"133","File clerks",334,"40.799999999999997","43-4071","2010","43-407","less.hs",13.03,"hs-"
"134","Hotel, motel, and resort desk clerks",135,"30.1","43-4081","2010","43-408","less.hs",11.21,"hs-"
"135","Interviewers, except eligibility and loan",153,"40.799999999999997","43-4111","2010","43-411","less.hs",2.91,"hs-"
"136","Library assistants, clerical",113,"44.8","43-4121","2010","43-412","less.hs",1.58,"hs-"
"137","Loan interviewers and clerks",117,"40.4","43-4131","2010","43-413","less.hs",2.46,"hs-"
"138","New accounts clerks",33,"–","43-4141","2010","43-414","less.hs",0.56,"hs-"
"139","Human resources assistants, except payroll and timekeeping",40,"–","43-4161","2010","43-416","less.hs",1.04,"hs-"
"140","Receptionists and information clerks",1259,"38.299999999999997","43-4171","2010","43-417","less.hs",49.1,"hs-"
"141","Reservation and transportation ticket agents and travel clerks",99,"42.6","43-4181","2010","43-418","less.hs",2.67,"hs-"
"142","Information and record clerks, all other",118,"45.7","43-4199","2010","43-419","less.hs",2.48,"hs-"
"143","Cargo and freight agents",8,"–","43-5011","2010","43-501","less.hs",0.63,"hs-"
"144","Couriers and messengers",249,"46.5","43-5021","2010","43-502","less.hs",19.17,"hs-"
"145","Meter readers, utilities",28,"–","43-5041","2010","43-504","less.hs",1.23,"hs-"
"146","Postal service clerks",146,"53.1","43-5051","2010","43-505","less.hs",3.5,"hs-"
"147","Production, planning, and expediting clerks",236,"44.1","43-5061","2010","43-506","less.hs",6.14,"hs-"
"148","Shipping, receiving, and traffic clerks",559,"40","43-5071","2010","43-507","less.hs",80.5,"hs-"
"149","Stock clerks and order fillers",1503,"34.200000000000003","43-5081","2010","43-508","less.hs",226.95,"hs-"
"150","Weighers, measurers, checkers, and samplers, recordkeeping",70,"44.9","43-5111","2010","43-511","less.hs",9.1,"hs-"
"151","Computer operators",126,"48.9","43-9011","2010","43-901","less.hs",3.65,"hs-"
"152","Data entry keyers",334,"40","43-9021","2010","43-902","less.hs",9.35,"hs-"
"153","Insurance claims and policy processing clerks",246,"41.7","43-9041","2010","43-904","less.hs",4.18,"hs-"
"154","Mail clerks and mail machine operators, except postal service",93,"43.7","43-9051","2010","43-905","less.hs",9.86,"hs-"
"155","Office clerks, general",1061,"42.2","43-9061","2010","43-906","less.hs",37.13,"hs-"
"156","Office machine operators, except computer",45,"–","43-9071","2010","43-907","less.hs",3.2,"hs-"
"157","Proofreaders and copy markers",7,"–","43-9081","2010","43-908","less.hs",0.04,"hs-"
"158","Statistical assistants",18,"–","43-9111","2010","43-911","less.hs",0.27,"hs-"
"159","First-line supervisors of farming, fishing, and forestry workers",52,"51.8","45-1011","2010","45-101","less.hs",15.6,"hs-"
"160","Agricultural inspectors",22,"–","45-2011","2010","45-201","less.hs",2.33,"hs-"
"161","Graders and sorters, agricultural products",95,"43.1","45-2041","2010","45-204","less.hs",56.05,"hs-"
"162","Forest and conservation workers",14,"–","45-4011","2010","45-401","less.hs",3.46,"hs-"
"163","First-line supervisors of construction trades and extraction workers",634,"45.2","47-1011","2010","47-101","less.hs",86.22,"hs-"
"164","Boilermakers",19,"–","47-2011","2010","47-201","less.hs",1.71,"hs-"
"165","Carpenters",1330,"41.4","47-2031","2010","47-203","less.hs",309.89,"hs-"
"166","Construction laborers",1253,"36.9","47-2061","2010","47-206","less.hs",414.74,"hs-"
"167","Paving, surfacing, and tamping equipment operators",21,"–","47-2071","2010","47-207","less.hs",8.25,"hs-"
"168","Electricians",682,"41.5","47-2111","2010","47-211","less.hs",49.1,"hs-"
"169","Glaziers",48,"–","47-2121","2010","47-212","less.hs",11.09,"hs-"
"170","Plasterers and stucco masons",24,"–","47-2161","2010","47-216","less.hs",12,"hs-"
"171","Roofers",222,"34.200000000000003","47-2181","2010","47-218","less.hs",101.68,"hs-"
"172","Sheet metal workers",126,"40","47-2211","2010","47-221","less.hs",20.79,"hs-"
"173","Structural iron and steel workers",66,"38.5","47-2221","2010","47-222","less.hs",12.21,"hs-"
"174","Construction and building inspectors",75,"50.7","47-4011","2010","47-401","less.hs",1.5,"hs-"
"175","Elevator installers and repairers",30,"–","47-4021","2010","47-402","less.hs",1.02,"hs-"
"176","Fence erectors",45,"–","47-4031","2010","47-403","less.hs",16.56,"hs-"
"177","Hazardous materials removal workers",32,"–","47-4041","2010","47-404","less.hs",6.88,"hs-"
"178","Highway maintenance workers",105,"45.3","47-4051","2010","47-405","less.hs",15.86,"hs-"
"179","Rail-track laying and maintenance equipment operators",7,"–","47-4061","2010","47-406","less.hs",0.76,"hs-"
"180","Earth drillers, except oil and gas",23,"–","47-5021","2010","47-502","less.hs",3.63,"hs-"
"181","Explosives workers, ordnance handling experts, and blasters",9,"–","47-5031","2010","47-503","less.hs",0.64,"hs-"
"182","First-line supervisors of mechanics, installers, and repairers",313,"49.7","49-1011","2010","49-101","less.hs",20.03,"hs-"
"183","Computer, automated teller, and office machine repairers",305,"40.6","49-2011","2010","49-201","less.hs",6.71,"hs-"
"184","Avionics technicians",16,"–","49-2091","2010","49-209","less.hs",0.29,"hs-"
"185","Aircraft mechanics and service technicians",164,"44","49-3011","2010","49-301","less.hs",3.94,"hs-"
"186","Automotive body and related repairers",140,"41.1","49-3021","2010","49-302","less.hs",30.8,"hs-"
"187","Bus and truck mechanics and diesel engine specialists",312,"42.4","49-3031","2010","49-303","less.hs",45.24,"hs-"
"188","Heating, air conditioning, and refrigeration mechanics and installers",338,"39.4","49-9021","2010","49-902","less.hs",35.83,"hs-"
"189","Home appliance repairers",43,"–","49-9031","2010","49-903","less.hs",6.11,"hs-"
"190","Electrical power-line installers and repairers",124,"40.6","49-9051","2010","49-905","less.hs",7.07,"hs-"
"191","Maintenance and repair workers, general",422,"48.4","49-9071","2010","49-907","less.hs",59.08,"hs-"
"192","Coin, vending, and amusement machine servicers and repairers",46,"–","49-9091","2010","49-909","less.hs",4.78,"hs-"
"193","First-line supervisors of production and operating workers",727,"47.1","51-1011","2010","51-101","less.hs",73.43,"hs-"
"194","Aircraft structure, surfaces, rigging, and systems assemblers",20,"–","51-2011","2010","51-201","less.hs",3.16,"hs-"
"195","Engine and other machine assemblers",34,"–","51-2031","2010","51-203","less.hs",4.22,"hs-"
"196","Structural metal fabricators and fitters",32,"–","51-2041","2010","51-204","less.hs",3.9,"hs-"
"197","Bakers",207,"40.299999999999997","51-3011","2010","51-301","less.hs",56.72,"hs-"
"198","Food and tobacco roasting, baking, and drying machine operators and tenders",12,"–","51-3091","2010","51-309","less.hs",2.82,"hs-"
"199","Extruding and drawing machine setters, operators, and tenders, metal and plastic",13,"–","51-4021","2010","51-402","less.hs",1.96,"hs-"
"200","Machinists",419,"45.6","51-4041","2010","51-404","less.hs",42.32,"hs-"
"201","Tool and die makers",66,"51","51-4111","2010","51-411","less.hs",3.96,"hs-"
"202","Prepress technicians and workers",41,"–","51-5111","2010","51-511","less.hs",2.99,"hs-"
"203","Laundry and dry-cleaning workers",174,"44.6","51-6011","2010","51-601","less.hs",66.29,"hs-"
"204","Pressers, textile, garment, and related materials",48,"–","51-6021","2010","51-602","less.hs",22.85,"hs-"
"205","Sewing machine operators",169,"48","51-6031","2010","51-603","less.hs",72.67,"hs-"
"206","Cabinetmakers and bench carpenters",66,"47.1","51-7011","2010","51-701","less.hs",11.88,"hs-"
"207","Furniture finishers",17,"–","51-7021","2010","51-702","less.hs",4.57,"hs-"
"208","Sawing machine setters, operators, and tenders, wood",32,"–","51-7041","2010","51-704","less.hs",12.19,"hs-"
"209","Stationary engineers and boiler operators",95,"51.5","51-8021","2010","51-802","less.hs",6.65,"hs-"
"210","Water and wastewater treatment plant and system operators",71,"48.4","51-8031","2010","51-803","less.hs",3.2,"hs-"
"211","Extruding, forming, pressing, and compacting machine setters, operators, and tenders",34,"–","51-9041","2010","51-904","less.hs",7.04,"hs-"
"212","Furnace, kiln, oven, drier, and kettle operators and tenders",11,"–","51-9051","2010","51-905","less.hs",0.95,"hs-"
"213","Inspectors, testers, sorters, samplers, and weighers",647,"43.6","51-9061","2010","51-906","less.hs",75.05,"hs-"
"214","Jewelers and precious stone and metal workers",41,"–","51-9071","2010","51-907","less.hs",7.83,"hs-"
"215","Packaging and filling machine operators and tenders",288,"39.1","51-9111","2010","51-911","less.hs",99.36,"hs-"
"216","Photographic process workers and processing machine operators",43,"–","51-9151","2010","51-915","less.hs",3.1,"hs-"
"217","Adhesive bonding machine operators and tenders",9,"–","51-9191","2010","51-919","less.hs",2.21,"hs-"
"218","Flight attendants",88,"45.5","53-2031","2010","53-203","less.hs",0.44,"hs-"
"219","Ambulance drivers and attendants, except emergency medical technicians",13,"–","53-3011","2010","53-301","less.hs",1.64,"hs-"
"220","Taxi drivers and chauffeurs",342,"48.8","53-3041","2010","53-304","less.hs",50.96,"hs-"
"221","Motor vehicle operators, all other",62,"51.8","53-3099","2010","53-309","less.hs",10.29,"hs-"
"222","Railroad conductors and yardmasters",52,"43.7","53-4031","2010","53-403","less.hs",1.14,"hs-"
"223","Parking lot attendants",73,"32.6","53-6021","2010","53-602","less.hs",13.14,"hs-"
"224","Automotive and watercraft service attendants",76,"30.1","53-6031","2010","53-603","less.hs",13.45,"hs-"
"225","Transportation inspectors",32,"–","53-6051","2010","53-605","less.hs",2.18,"hs-"
"226","Transportation attendants, except flight attendants",32,"–","53-6061","2010","53-606","less.hs",4.58,"hs-"
"227","Crane and tower operators",63,"42.7","53-7021","2010","53-702","less.hs",10.46,"hs-"
"228","Industrial truck and tractor operators",528,"39.799999999999997","53-7051","2010","53-705","less.hs",127.78,"hs-"
"229","Cleaners of vehicles and equipment",331,"32.700000000000003","53-7061","2010","53-706","less.hs",112.87,"hs-"
"230","Refuse and recyclable material collectors",92,"41.3","53-7081","2010","53-708","less.hs",29.72,"hs-"
"231","Accountants and auditors",1789.5,"43.2","13-2011","2012","13-201","less.hs",3.58,"hs-"
"232","Actors",41.5,"–","27-2011","2012","27-201","less.hs",1.04,"hs-"
"233","Actuaries",27,"–","15-2011","2012","15-201","less.hs",0,"hs-"
"234","Adhesive bonding machine operators and tenders",10.5,"–","51-9191","2012","51-919","less.hs",2.08,"hs-"
"235","Advertising sales agents",234,"39.299999999999997","41-3011","2012","41-301","less.hs",3.28,"hs-"
"236","Aerospace engineers",131.5,"45.1","17-2011","2012","17-201","less.hs",0.13,"hs-"
"237","Agents and business managers of artists, performers, and athletes",53,"37","13-1011","2012","13-101","less.hs",0.48,"hs-"
"238","Agricultural and food science technicians",30,"–","19-4011","2012","19-401","less.hs",2.58,"hs-"
"239","Agricultural inspectors",14,"–","45-2011","2012","45-201","less.hs",0.95,"hs-"
"240","Aircraft mechanics and service technicians",157.5,"47.5","49-3011","2012","49-301","less.hs",4.25,"hs-"
"241","Aircraft structure, surfaces, rigging, and systems assemblers",18.5,"–","51-2011","2012","51-201","less.hs",2.18,"hs-"
"242","Ambulance drivers and attendants, except emergency medical technicians",18.5,"–","53-3011","2012","53-301","less.hs",1.65,"hs-"
"243","Animal control workers",11,"–","33-9011","2012","33-901","less.hs",0.63,"hs-"
"244","Animal trainers",40,"–","39-2011","2012","39-201","less.hs",2.44,"hs-"
"245","Appraisers and assessors of real estate",95.5,"49.9","13-2021","2012","13-202","less.hs",0.86,"hs-"
"246","Atmospheric and space scientists",14.5,"–","19-2021","2012","19-202","less.hs",0,"hs-"
"247","Audiologists",15,"–","29-1181","2012","29-118","less.hs",0,"hs-"
"248","Automotive and watercraft service attendants",93,"27.3","53-6031","2012","53-603","less.hs",16.65,"hs-"
"249","Automotive body and related repairers",154,"43.2","49-3021","2012","49-302","less.hs",32.34,"hs-"
"250","Avionics technicians",12,"–","49-2091","2012","49-209","less.hs",0.23,"hs-"
"251","Bakers",203,"39.1","51-3011","2012","51-301","less.hs",50.95,"hs-"
"252","Barbers",118,"41.2","39-5011","2012","39-501","less.hs",15.1,"hs-"
"253","Bartenders",414.5,"31.3","35-3011","2012","35-301","less.hs",31.09,"hs-"
"254","Bill and account collectors",191.5,"39.4","43-3011","2012","43-301","less.hs",7.09,"hs-"
"255","Billing and posting clerks",486,"44","43-3021","2012","43-302","less.hs",15.07,"hs-"
"256","Biological technicians",20,"–","19-4021","2012","19-402","less.hs",0.28,"hs-"
"257","Boilermakers",20.5,"–","47-2011","2012","47-201","less.hs",1.97,"hs-"
"258","Bookkeeping, accounting, and auditing clerks",1254.5,"50","43-3031","2012","43-303","less.hs",35.13,"hs-"
"259","Brokerage clerks",3.5,"–","43-4011","2012","43-401","less.hs",0.06,"hs-"
"260","Budget analysts",58.5,"43.8","13-2031","2012","13-203","less.hs",0.23,"hs-"
"261","Bus and truck mechanics and diesel engine specialists",316,"41.7","49-3031","2012","49-303","less.hs",44.87,"hs-"
"262","Business operations specialists, all other",223,"43.7","13-1199","2012","13-119","less.hs",3.79,"hs-"
"263","Buyers and purchasing agents, farm products",13.5,"–","13-1021","2012","13-102","less.hs",1.81,"hs-"
"264","Cabinetmakers and bench carpenters",46,"–","51-7011","2012","51-701","less.hs",8.42,"hs-"
"265","Cargo and freight agents",26.5,"–","43-5011","2012","43-501","less.hs",1.19,"hs-"
"266","Carpenters",1193.5,"42.2","47-2031","2012","47-203","less.hs",293.6,"hs-"
"267","Chefs and head cooks",414,"38.5","35-1011","2012","35-101","less.hs",72.86,"hs-"
"268","Chemical engineers",66,"44.7","17-2041","2012","17-204","less.hs",0.13,"hs-"
"269","Chemical technicians",65.5,"45.3","19-4031","2012","19-403","less.hs",2.55,"hs-"
"270","Childcare workers",1272,"37.700000000000003","39-9011","2012","39-901","less.hs",169.18,"hs-"
"271","Chiropractors",58,"44.4","29-1011","2012","29-101","less.hs",0.35,"hs-"
"272","Civil engineers",359,"43.6","17-2051","2012","17-205","less.hs",0.36,"hs-"
"273","Cleaners of vehicles and equipment",331.5,"31.1","53-7061","2012","53-706","less.hs",117.02,"hs-"
"274","Clergy",409,"51.8","21-2011","2012","21-201","less.hs",9,"hs-"
