"","employment","median_salary","men_median","women_median","Total","median_age","code","year","code2","degrees","number","edu"
"1","Accountants and auditors","1056","1250","956",1653,"43.1","13-2011","2011","13-201","less.hs",1.65,"hs-"
"2","Actors","-","-","-",28,"–","27-2011","2011","27-201","less.hs",0.25,"hs-"
"3","Actuaries","-","-","-",18,"–","15-2011","2011","15-201","less.hs",0,"hs-"
"4","Adhesive bonding machine operators and tenders","-","-","-",9,"–","51-9191","2011","51-919","less.hs",2.21,"hs-"
"5","Administrative services managers","1021","1170","-",128,"48.9","406090","2011","406090","less.hs",1.66,"hs-"
"6","Advertising and promotions managers","1164","-","-",87,"39.200000000000003","40848","2011","40848","less.hs",1.39,"hs-"
"7","Advertising sales agents","893","961","772",254,"39.6","41-3011","2011","41-301","less.hs",4.57,"hs-"
"8","Aerospace engineers","1621","1745","-",144,"43.9","17-2011","2011","17-201","less.hs",0.14,"hs-"
"9","Agents and business managers of artists, performers, and athletes","-","-","-",48,"–","13-1011","2011","13-101","less.hs",0.86,"hs-"
"10","Agricultural and food science technicians","-","-","-",24,"–","19-4011","2011","19-401","less.hs",1.87,"hs-"
"11","Agricultural inspectors","-","-","-",22,"–","45-2011","2011","45-201","less.hs",2.33,"hs-"
"12","Aircraft mechanics and service technicians","988","990","-",164,"44","49-3011","2011","49-301","less.hs",3.94,"hs-"
"13","Aircraft structure, surfaces, rigging, and systems assemblers","-","-","-",20,"–","51-2011","2011","51-201","less.hs",3.16,"hs-"
"14","Ambulance drivers and attendants, except emergency medical technicians","-","-","-",13,"–","53-3011","2011","53-301","less.hs",1.64,"hs-"
"15","Animal control workers","-","-","-",6,"–","33-9011","2011","33-901","less.hs",0.15,"hs-"
"16","Animal trainers","-","-","-",49,"–","39-2011","2011","39-201","less.hs",4.46,"hs-"
"17","Appraisers and assessors of real estate","990","-","-",88,"50.6","13-2021","2011","13-202","less.hs",0.62,"hs-"
"18","Architectural and engineering managers","1914","1908","-",106,"47.6","2608503","2011","260850","less.hs",0.32,"hs-"
"19","Atmospheric and space scientists","-","-","-",7,"–","19-2021","2011","19-202","less.hs",0,"hs-"
"20","Audiologists","-","-","-",19,"–","29-1181","2011","29-118","less.hs",0,"hs-"
"21","Automotive and watercraft service attendants","-","-","-",76,"30.1","53-6031","2011","53-603","less.hs",13.45,"hs-"
"22","Automotive body and related repairers","624","625","-",140,"41.1","49-3021","2011","49-302","less.hs",30.8,"hs-"
"23","Avionics technicians","-","-","-",16,"–","49-2091","2011","49-209","less.hs",0.29,"hs-"
"24","Bakers","448","471","416",207,"40.299999999999997","51-3011","2011","51-301","less.hs",56.72,"hs-"
"25","Barbers","-","-","-",89,"45.1","39-5011","2011","39-501","less.hs",13.53,"hs-"
"26","Bartenders","545","593","505",392,"31.8","35-3011","2011","35-301","less.hs",33.32,"hs-"
"27","Bill and account collectors","608","-","597",211,"38.9","43-3011","2011","43-301","less.hs",8.44,"hs-"
"28","Billing and posting clerks","607","-","605",471,"42.2","43-3021","2011","43-302","less.hs",13.19,"hs-"
"29","Biological technicians","-","-","-",21,"–","19-4021","2011","19-402","less.hs",0.71,"hs-"
"30","Boilermakers","-","-","-",19,"–","47-2011","2011","47-201","less.hs",1.71,"hs-"
