"","year","employment","edu","sum_number"
"1",2011,"Accountants and auditors","college+",1295.95
"2",2011,"Accountants and auditors","hs-",69.42
"3",2011,"Accountants and auditors","hs-college",287.62
"4",2011,"Actors","college+",15.99
"5",2011,"Actors","hs-",4.37
"6",2011,"Actors","hs-college",7.65
"7",2011,"Actuaries","college+",17.85
"8",2011,"Actuaries","hs-",0
"9",2011,"Actuaries","hs-college",0.16
"10",2011,"Adhesive bonding machine operators and tenders","college+",0.38
"11",2011,"Adhesive bonding machine operators and tenders","hs-",6.57
"12",2011,"Adhesive bonding machine operators and tenders","hs-college",2.05
"13",2011,"Administrative services managers","college+",52.1
"14",2011,"Administrative services managers","hs-",24.32
"15",2011,"Administrative services managers","hs-college",51.71
"16",2011,"Advertising and promotions managers","college+",64.38
"17",2011,"Advertising and promotions managers","hs-",5.83
"18",2011,"Advertising and promotions managers","hs-college",16.88
"19",2011,"Advertising sales agents","college+",137.92
"20",2011,"Advertising sales agents","hs-",40.13
"21",2011,"Advertising sales agents","hs-college",76.2
"22",2011,"Aerospace engineers","college+",122.11
"23",2011,"Aerospace engineers","hs-",3.31
"24",2011,"Aerospace engineers","hs-college",18.44
"25",2011,"Agents and business managers of artists, performers, and athletes","college+",27.74
"26",2011,"Agents and business managers of artists, performers, and athletes","hs-",6.86
"27",2011,"Agents and business managers of artists, performers, and athletes","hs-college",13.44
"28",2011,"Agricultural and food science technicians","college+",6.94
"29",2011,"Agricultural and food science technicians","hs-",8.78
"30",2011,"Agricultural and food science technicians","hs-college",8.25
"31",2011,"Agricultural inspectors","college+",7.9
"32",2011,"Agricultural inspectors","hs-",6.82
"33",2011,"Agricultural inspectors","hs-college",7.26
"34",2011,"Aircraft mechanics and service technicians","college+",17.22
"35",2011,"Aircraft mechanics and service technicians","hs-",49.2
"36",2011,"Aircraft mechanics and service technicians","hs-college",97.75
"37",2011,"Aircraft structure, surfaces, rigging, and systems assemblers","college+",1.42
"38",2011,"Aircraft structure, surfaces, rigging, and systems assemblers","hs-",12.18
"39",2011,"Aircraft structure, surfaces, rigging, and systems assemblers","hs-college",6.4
"40",2011,"Ambulance drivers and attendants, except emergency medical technicians","college+",1.37
"41",2011,"Ambulance drivers and attendants, except emergency medical technicians","hs-",6.84
"42",2011,"Ambulance drivers and attendants, except emergency medical technicians","hs-college",4.78
"43",2011,"Animal control workers","college+",1.06
"44",2011,"Animal control workers","hs-",2.38
"45",2011,"Animal control workers","hs-college",2.56
"46",2011,"Animal trainers","college+",13.53
"47",2011,"Animal trainers","hs-",19.75
"48",2011,"Animal trainers","hs-college",15.73
"49",2011,"Appraisers and assessors of real estate","college+",43.21
"50",2011,"Appraisers and assessors of real estate","hs-",11.27
"51",2011,"Appraisers and assessors of real estate","hs-college",33.62
"52",2011,"Architectural and engineering managers","college+",88.94
"53",2011,"Architectural and engineering managers","hs-",3.39
"54",2011,"Architectural and engineering managers","hs-college",13.78
"55",2011,"Atmospheric and space scientists","college+",6.36
"56",2011,"Atmospheric and space scientists","hs-",0
"57",2011,"Atmospheric and space scientists","hs-college",0.64
"58",2011,"Audiologists","college+",18.54
"59",2011,"Audiologists","hs-",0.38
"60",2011,"Audiologists","hs-college",0.08
"61",2011,"Automotive and watercraft service attendants","college+",5.77
"62",2011,"Automotive and watercraft service attendants","hs-",49.02
"63",2011,"Automotive and watercraft service attendants","hs-college",21.21
"64",2011,"Automotive body and related repairers","college+",4.2
"65",2011,"Automotive body and related repairers","hs-",103.18
"66",2011,"Automotive body and related repairers","hs-college",32.62
"67",2011,"Avionics technicians","college+",2.14
"68",2011,"Avionics technicians","hs-",4.47
"69",2011,"Avionics technicians","hs-college",9.37
"70",2011,"Bakers","college+",16.77
"71",2011,"Bakers","hs-",138.69
"72",2011,"Bakers","hs-college",51.55
"73",2011,"Barbers","college+",3.47
"74",2011,"Barbers","hs-",55.36
